"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"6";"0.1u";"C-EUC0805";"C0805";"C1, C4, C5, C6, C7, C8";"CAPACITOR, European symbol";"";
"4";"10k";"R-EU_R0805";"R0805";"R3, R4, R5, R6";"RESISTOR, European symbol";"";
"2";"10u";"C-EUC0805";"C0805";"C2, C3";"CAPACITOR, European symbol";"";
"3";"1M LOG";"9MM_SNAP-IN_POT_";"9MM_SNAP-IN_POT";"ATTACK, DECAY, RELEASE";"9mm vertical snap-in pot, Alpha / Panasonic style";"";
"4";"1k";"R-EU_R0805";"R0805";"R1, R2, R7, R8";"RESISTOR, European symbol";"";
"1";"1u";"C-EUC0805";"C0805";"C9";"CAPACITOR, European symbol";"";
"1";"4001D";"4001D";"SO14";"IC1";"Quad 2-input NOR";"";
"1";"4066D";"4066D";"SO14";"IC2";"Quad bilateral ANALOG SWITCH";"";
"1";"5k LIN";"9MM_SNAP-IN_POT_";"9MM_SNAP-IN_POT";"SUSTAIN";"9mm vertical snap-in pot, Alpha / Panasonic style";"";
"1";"ENV_OUT";"LEDCHIPLED_0805";"CHIPLED_0805";"LED1";"LED";"";
"1";"IN";"AUDIO-JACKERTHENVAR";"ERTHENVAR-JACK";"IN";"Switching Mono 3.5mm Audio Jack from Erthenvar.";"";
"1";"LM311D";"LM311D";"SO08";"IC3";"COMPARATOR";"";
"1";"OUT";"AUDIO-JACKERTHENVAR";"ERTHENVAR-JACK";"OUT";"Switching Mono 3.5mm Audio Jack from Erthenvar.";"";
"1";"POWER_SIMPLE10";"POWER_SIMPLE10";"POWER_10";"POWER1";"";"";
"1";"TL072D";"TL072D";"SO08";"IC4";"OP AMP";"";
